施設名,エリア,地名,住所
奥谷内科医院,香川県,観音寺市,瀬戸町4-1-70
如水会　オリーブ高松メディカルクリニック,香川県,高松市,観光町649-8
姫路循環器病センター,兵庫県,姫路市,西庄甲520
宇品メンタルクリニック,広島県,広島市,宇品西3-1-45-4
宇多津浜クリニック,香川県,綾歌郡,宇多津町浜５番丁６６－１
宇部興産中央病院,山口県,宇部市,大字西岐波750
宇部興産株式会社　中央病院,山口県,宇部市,大字西岐波750
宇野耳鼻咽喉科クリニック,岡山県,岡山市,富原3702-4
守屋おさむクリニック,岡山県,倉敷市,玉島乙島932-43
安佐市民病院,広島県,広島市,亀山南1-2-1
安東内科クリニック,広島県,廿日市市,対厳山2-15-9
宝樹会小豆島病院,香川県,小豆郡,小豆島町池田2519-4
宮崎内科,香川県,観音寺市,観音寺町3393
宮里クリニック,山口県,周南市,大内町9番16号 みやさとビル1階
小池やすはら小児クリニック,広島県,福山市,光南町1-5-23
小泉小児科,愛媛県,伊予郡,砥部町拾町281-2
小渦会　医療保護施設　鳴門シーガル病院,徳島県,鳴門市,瀬戸町堂浦字阿波井57
小田ひ尿器科,愛媛県,松山市,枝松6-12-10
小田病院,岡山県,井原市,井原町582
小豆島病院,香川県,小豆郡,小豆島町池田2519-4
小郡第一総合病院,山口県,山口市,小郡下郷862番地3
尚腎会　高知高須病院,高知県,高知市,大津乙2705-1
尾道市立市民病院,広島県,尾道市,新高山3丁目1170-177
尾道総合病院,広島県,尾道市,平原1-10-23
屋島総合病院,香川県,高松市,屋島西町１８５７−１
山口労災病院,山口県,山陽小野田市,大字小野田1315-4
山口大学医学部附属病院,山口県,宇部市,南小串1-1-1
山口大学医学部附属病院　消化器・腫瘍外科,山口県,宇部市,南小串1-1-1
山口大学病院　小児科,山口県,宇部市,南小串1-1-1
山口大学病院　泌尿器科,山口県,宇部市,南小串1-1-1
山口宇部医療センター,山口県,宇部市,東岐波685番地
山口県立こころの医療センター,山口県,宇部市,東岐波4004-2
山口県立総合医療センター,山口県,防府市,大崎77
山口赤十字病院,山口県,山口市,八幡馬場５３−１
山根病院,島根県,浜田市,熱田町１５１７−１
山田小児科,愛媛県,松山市,余戸中2-15-30
山陰労災病院,鳥取県,米子市,皆生新田1-8-1
岡山労災病院,岡山県,岡山市,南区築港緑町1丁目10番25号
岡山労災病院　 循環器内科,岡山県,岡山市,南区築港緑町1-10- 25
岡山医療センター,岡山県,岡山市,北区田益1711-1
岡山大学　医学部,岡山県,岡山市,北区鹿田町2-5-1
岡山大学病院,岡山県,岡山市,北区鹿田町2-5-1
岡山市立市民病院,岡山県,岡山市,北区天瀬6番10号
岡山市立市民病院,岡山県,岡山市,北区長瀬表町3-20-1
岡山市立総合医療センター岡山市立市民病院,岡山県,岡山市,北長瀬表町三丁目２０番１号
岡山旭東病院,岡山県,岡山市,中区倉田567-1
岡山済生会外来センター病院,岡山県,岡山市,北区伊福町1-17-18
岡山済生会総合病院,岡山県,岡山市,北区伊福町1-17-18
岡山済生会総合病院,岡山県,岡山市,国体町2-25
岡山済生会総合病院附属外来センター,岡山県,岡山市,北区伊福町1-17-18
岡山県健康づくり財団附属病院,岡山県,岡山市,平田408-1
岡山県精神科医療センター,岡山県,岡山市,鹿田本町3-16
岡山第一病院,岡山県,岡山市,中区高屋343
岡山精神科医療センター,岡山県,岡山市,北区鹿田本町3-16
岡山赤十字病院,岡山県,岡山市,北区青江二丁目1番1号
岡本眼科クリニック,愛媛県,松山市,大手町2-7-17
岡村会  岡村病院,高知県,高知市,入明町１−５
岡耳鼻咽喉科医院,岡山県,岡山市,浦安西町21-31
岩国医療センター,山口県,岩国市,愛宕町1丁目1番1号
岩城クリニック,徳島県,阿南市,学原町上水田11-1
岩本内科医院,香川県,善通寺市,弘田町496-1
島大,広島県,広島市,舟入幸町4-2
島根大学医学部付属病院,島根県,出雲市,塩冶町89-1
島根大学医学部附属病院,島根県,出雲市,塩冶町89-1
島根県立中央病院,島根県,出雲市,姫原４－１－１
島根県立中央病院,島根県,出雲市,姫原4-1-1
島津会  幡多病院,高知県,四万十市,右山天神町１０−１２
川上こどもクリニック,愛媛県,四国中央市,金生町山田井895-2
川口メディカルクリニック,岡山県,岡山市,北区大供2-2-16
川口医院,山口県,大島郡,周防大島町外入2228-20
川島会　川島病院,徳島県,徳島市,北佐古一番町1-39
川島会　川島透析クリニック,徳島県,徳島市,北佐古一番町6-1
川島病院,徳島県,徳島市,北佐古一番町1-39
川崎医科大学付属病院,岡山県,倉敷市,松島577
川崎医科大学総合医療センター,岡山県,岡山市,中山下2-6-1
川崎医科大学総合医療センター,岡山県,岡山市,北区中山下2-6-1
川崎医科大学附属川崎病院,岡山県,岡山市,中山下2-1-80
川崎医科大学附属川崎病院,岡山県,岡山市,北区中山下2-1-80
川崎医科大学附属病院,岡山県,倉敷市,松島577
川崎病院,岡山県,岡山市,北区中山下2-1-80
市立八幡浜総合病院,愛媛県,八幡浜市,大平1番耕地638番地
市立宇和島病院,愛媛県,宇和島市,御殿町1-1
平和大通り心療クリニック,広島県,広島市,中町8-6
平岡内科クリニック,広島県,広島市,横川町2丁目7-19
平野同仁会  総合病院　津山第一病院,岡山県,津山市,中島438番地
平野同仁会　総合病院　津山第一病院,岡山県,津山市,中島438番地
幸友会　岡本眼科クリニック,愛媛県,松山市,大手町2-7-17
幸季の会 やまだリウマチクリニック,愛媛県,松山市,樽味4丁目3-33
幸正会　岩本内科医院,香川県,善通寺市,弘田町８９９−１
広島HARTクリニック,広島県,広島市,大手町5-7-10
広島アレルギー呼吸器クリニック,広島県,広島市,光町1-9-28
広島アレルギー呼吸器クリニック八丁堀,広島県,広島市,八丁堀14-7
広島ステーションクリニック,広島県,広島市,若草町11-2　グランアークテラス3F
広島リウマチ・内科クリニック,広島県,広島市,鉄砲町10-13八丁堀藤久芳堂ビル3階
広島厚生連　吉田総合病院,広島県,安芸高田市,吉田町吉田3666
広島厚生連　廣島総合病院,広島県,廿日市市,地御前1-3-3
広島大学原爆放射線医科学研究所,広島県,広島市,霞1-2-3
広島大学大学院医歯薬学総合研究科,広島県,広島市,霞1-2-3
広島大学病院,広島県,広島市,霞1-2-3
広島市民病院,広島県,広島市,基町7-33
広島市立　安佐市民病院,広島県,広島市,可部南2-1-1
広島市立　広島市民病院,広島県,広島市,基町7-33
広島市立北部医療センター安佐市民病院,広島県,広島市,亀山南1-2-1
広島市立広島市民病院,広島県,広島市,基町7-33
広島市立病院機構　広島市立広島市民病院,広島県,広島市,基町7-33
広島市立舟入病院,広島県,広島市,舟入幸町14番11号
広島第一病院,広島県,広島市,戸坂南2丁目9番15号
広島西医療センター,広島県,大竹市,玖波4-1-1
広島赤十字・原爆病院,広島県,広島市,千田町1-9-8
広島逓信病院,広島県,広島市,東白島町19-16
庄原赤十字病院,広島県,庄原市,西本町2-7-10
府中市民病院,広島県,府中市,鵜飼町555-3
廣島クリニック,広島県,広島市,東観音町20-16
廣島総合病院,広島県,廿日市市,地御前1-3-3
廣紀会  加藤整形外科,愛媛県,宇和島市,和霊元町4-2-8
弘雅会　亀井内科呼吸器科医院,香川県,高松市,太田下町３００７－４
徳島厚生連　阿南共栄病院,徳島県,阿南市,羽ノ浦町中庄
徳島大大学院ヘルスバイオサイエンス研究部,徳島県,徳島市,蔵元町3丁目18-15
徳島大学病院,徳島県,徳島市,市蔵本町２丁目50-1
徳島市民病院,徳島県,徳島市,北常三島町２丁目３４番地
徳島病院,徳島県,吉野川市,鴨島町敷地1354
徳島県立中央病院,徳島県,徳島市,蔵元町1丁目10-3
徳島研究センター,徳島県,徳島市,河内町平石夷野224-2
徳島赤十字ひのみね総合療育センター,徳島県,小松島市,中田町新開4-1
徳島赤十字病院,徳島県,小松島市,小松島町字利ノ口103番地
徳治会　田中医院,徳島県,名西郡,石井町浦庄字下浦689-1
徹慈会　堀病院,広島県,福山市,沖野上町3-4-13
心臓病センター榊原病院,岡山県,岡山市,北区中井町2-5-1
応用酵素医学研究所,徳島県,徳島市,東沖州2-1-7
愛人会　河村内科消化器クリニック,広島県,広島市,大手町1丁目4番11号
愛和会　あさひクリニック,香川県,高松市,観光町538-2
愛媛医療センター,愛媛県,東温市,横河原366
愛媛大学医学部附属病院,愛媛県,東温市,志津川
愛媛大学医学部附属病院　消化器外科,愛媛県,東温市,志津川
愛媛県立中央病院,愛媛県,松山市,春日町83
愛媛県立今治病院,愛媛県,今治市,石井町4-5-5
愛育小児科,徳島県,徳島市,国府町桜間字登々路8-1
慈圭会　慈圭病院,岡山県,岡山市,南区浦安本町100番の2地
戸田内科・リハビリテーション科,兵庫県,明石市,魚住町錦が丘4-5-1
操風会　岡山リハビリテーション病院,岡山県,岡山市,中区倉田503-1
操風会　岡山旭東病院,岡山県,岡山市,倉田567-1
敬愛会　南海病院,徳島県,鳴門市,鳴門町土佐泊浦字高砂5
新日本科学　薬物代謝分析センター(坂出）,香川県,坂出市,寿町3-1-2
新松田会　愛宕病院,高知県,高知市,愛宕町１丁目1-13
新生会　いしい記念病院,山口県,岩国市,多田3丁目102-1
新田小児科,広島県,広島市,横川町3-9-14
新開山本クリニック,鳥取県,米子市,上福原7-2-17
日本鋼管福山病院,広島県,福山市,大門町津之下1844
早川クリニック,広島県,呉市,広大広2-7-4
旭川荘南愛媛病院,愛媛県,北宇和郡,鬼北町永野市1607
明和会　たまき青空病院,徳島県,徳島市,国府町早淵字北カシヤ５６－１
明圭会まなべ眼科クリニック,香川県,高松市,番町３丁目２０−２
明清会　山田記念病院,広島県,三原市,宮浦６丁目２番１号
昭和病院,山口県,下関市,汐入町35-1
時任整形外科リウマチ科,山口県,下関市,長府南之町5-6
曙会　シムラ病院,広島県,広島市,舟入町3-13
更生会　村上記念病院,愛媛県,西条市,大町739
更生会　草津病院,広島県,広島市,草津梅が台10番1号
朋和会　西広島リハビリテーション病院,広島県,広島市,三宅６丁目２６５
木原こどもクリニック,広島県,三原市,円一町1丁目1番7号
木村眼科内科病院,広島県,呉市,宝町3-15
杢保小児科医院,香川県,丸亀市,飯山町川原972-1
東広島医療センター,広島県,東広島市,西条町寺家513番地
東広島記念病院,広島県,東広島市,西条町吉行2214番地
東条小児科医院,岡山県,玉野市,迫間2137-4
東部島根医療福祉センター,島根県,松江市,東生馬町15-1
松寿会 甲嶋内科,山口県,防府市,戎町２丁目5-30
松寿会　甲嶋内科,山口県,防府市,戎町２丁目5-30
松山市民病院,愛媛県,松山市,大手町2-6-5
松山赤十字病院,愛媛県,松山市,文京町1
松本小児科医院,兵庫県,加東市,社384-1
松本眼科,徳島県,阿波市,阿波町高垣50-2
松江医療センター,島根県,松江市,上乃木5丁目8-31
松江市立病院,島根県,松江市,乃白町32番地1
松江市立病院,島根県,松江市,乃白町32-1
松江赤十字病院,島根県,松江市,母衣町200
柳井医療センター,山口県,柳井市,伊保庄95
栄平会　平岡内科クリニック,広島県,広島市,横川町2丁目7-19
栗整形外科病院,愛媛県,四国中央市,中之庄町３９８−１
栗林病院,香川県,高松市,栗林町3-5-9
桑嶋クリニック,愛媛県,新居浜市,坂井町３丁目６−３
桜和会　ジョイ皮ふ科クリニック,山口県,山陽小野田市,中川6丁目4-1
梅の辻クリニック,高知県,高知市,梅の辻8-7
梅ノ辻クリニック,高知県,高知市,梅ノ辻8-7
梶尾会　福山泌尿器病院,広島県,福山市,沖野上町3丁目1-17
森内科,広島県,福山市,手城町2丁目8番4号
横田メンタルクリニック,広島県,広島市,若草町11-2
正信会　こたけもり整形外科医院,岡山県,岡山市,北区奉還町4-17-17
武岡皮膚科クリニック,香川県,丸亀市,原田町1638
武田会　高知鏡川病院,高知県,高知市,城山町270番地
水和会　水島中央病院,岡山県,倉敷市,水島青葉町4-5
永井整形外科医院,香川県,坂出市,川津町2730番地
永元会　はしもとじんクリニック,広島県,福山市,松永町３－７－３９－３
永瀬会　松山市民病院,愛媛県,松山市,大手町2-6-5
永頼会　松山市民病院,愛媛県,松山市,大手町2-6-5
沖本クリニック,広島県,呉市,久比185-4
河村小児科,広島県,廿日市市,上平良358-1
治久会　もみのき病院,高知県,高知市,塚ﾉ原6-1
泉原病院,山口県,周南市,泉原町10-1
津山慈風会　津山中央病院,岡山県,津山市,川崎１７５６
浜田医療センター,島根県,浜田市,浅井町777番地12
浩寿会　中村皮フ科クリニック,愛媛県,大洲市,新谷町甲96番
海里マリン病院,高知県,高知市,仁井田1617-5
清仁会　宇多津病院,香川県,綾歌郡,宇多津町浜５番丁６６－１
清和会　垣田病院,鳥取県,倉吉市,上井３０２−１
済生会　下関総合病院,山口県,下関市,安岡町8-5-1
済生会　今治病院,愛媛県,今治市,喜田村7-1-6
済生会　松山病院,愛媛県,松山市,山西町880-2
済生会下関病院　小児科,山口県,下関市,安岡町8-5-1
済生会下関病院　泌尿器科,山口県,下関市,安岡町8-5-1
済生会今治病院,愛媛県,今治市,喜田村7-1-6
済生会松山病院,愛媛県,松山市,山西町880-2
済生会西条病院,愛媛県,西条市,朔日市269-1
渚クリニック,徳島県,小松島市,前原町字東19-3
片山内科クリニック,岡山県,倉敷市,寿町1-26
猿田皮膚科診療所,高知県,高知市,升形4-25
玉造厚生年金病院,島根県,松江市,玉湯町湯町1-2
生協小児科ひろしま,広島県,広島市,観音町16-19
田中医院,徳島県,名西郡,浦庄字下浦689-1
田窪リウマチ・整形外科,愛媛県,松山市,枝松1-9-38
町田病院,高知県,高知市,旭町1-104
異国,愛媛県,東温市,志津川
異国ガン,広島県,広島市,基町7-33
百子会　やまな病院,岡山県,倉敷市,児島下の町10－2－12
益田赤十字病院,島根県,益田市,乙吉町イ103-1
直島町立ふれあい診療所,香川県,香川郡,直島町2310−1
直島町立診療所,香川県,香川郡,直島町2310番地1
県立二葉の里病院,広島県,広島市,二葉の里3-1-36
県立広島病院,広島県,広島市,宇品神田一丁目5番54号
県立新居浜病院,愛媛県,新居浜市,本郷３丁目１－１
真光会　真光園,愛媛県,松山市,南高井町１４９１
眼科康誠会　井上眼科,岡山県,玉野市,宇野１－１４－３１
睦み会　城西病院,徳島県,徳島市,南矢三町3丁目11-23
矢掛町国民健康保険病院,岡山県,小田郡,矢掛２６９５
石丸眼科,高知県,高知市,本町2丁目5-20
石岡内科クリニック,広島県,広島市,紙屋町2-2-6 紙屋町イワミビル5F
石田医院,鳥取県,鳥取市,青谷町青谷4032-19
社会保険  下関厚生病院,山口県,下関市,上新地町3-3-8
社会保険栗林病院,香川県,高松市,栗林町3-5-9
社会医療法人社団更生会　村上記念病院,愛媛県,西条市,大町739
祇園すやま眼科クリニック,広島県,広島市,山本3-1-10
神田小児科医院,山口県,下関市,府中土居本町2-21
祥和会　脳神経センター大田記念病院,広島県,福山市,沖野上町三丁目6-28
福山医療センター,広島県,福山市,沖野上町4-14-17
福山友愛病院,広島県,福山市,水呑町302-2
福山市民病院,広島県,福山市,蔵王町5-23-1
福山循環器病院　循環器内科,広島県,福山市,緑町2番39号
福徳永会　さいきじんクリニック,広島県,福山市,瀬戸町山北450-1
積善会　十全総合病院,愛媛県,新居浜市,北新町1番5号
積善会附属　十全総合病院,愛媛県,新居浜市,北新町1番5号
竜操整形外科病院,岡山県,岡山市,中区藤原２１−１
竹下会　竹下病院,高知県,高知市,本町2丁目4-3
竹下病院,高知県,高知市,本町2丁目4-3
竹政会　セントラル病院,広島県,福山市,住吉町7-3
笠岡市立市民病院,岡山県,笠岡市,笠岡５６２８−１
米子医療センター,鳥取県,米子市,車尾4-17-1
細木小児科,広島県,福山市,港町2-11-1
細木病院,高知県,高知市,大膳町37
綜合病院　社会保険　徳山中央病院,山口県,周南市,孝田町1番1号
綾こどもクリニック,香川県,高松市,国分寺町福家甲3174-4
総合病院  松江赤十字病院,島根県,松江市,母衣町200
総合病院　三原赤十字病院,広島県,三原市,東町２丁目７番１号
総合病院 回生病院,香川県,坂出市,室町3丁目5-28
総合病院　坂出市立病院,香川県,坂出市,文京町1-6-43
総合病院　岡山市立市民病院,岡山県,岡山市,北区天瀬6番10号
総合病院　岡山赤十字病院,岡山県,岡山市,北区青江2丁目1番1号
総合病院 松江赤十字病院,島根県,松江市,母衣町２００
総合病院　水島協同病院,岡山県,倉敷市,水島南春日町１−１
総合病院回生病院,香川県,坂出市,室町3丁目5-28
緑風会　海里マリン病院,高知県,高知市,仁井田1617-5
美甘会　勝山病院,岡山県,真庭市,本郷１８１９
翠こども・耳鼻咽喉科クリニック,広島県,広島市,翠５丁目１７番２３号－２Ｆ
翠松会　岩城クリニック,徳島県,阿南市,学原町上水田11-1
耳鼻咽喉科くにもと医院,広島県,広島市,沼田町伴中大原５７６９－７
耳鼻咽喉科ののはなクリニック,山口県,山口市,大内矢田北六丁目１９－１７
聖光会　鷹の子病院,愛媛県,松山市,鷹子町525-1
聖比留会　セントヒル病院,山口県,宇部市,今村北3-7-18
脳神経センター大田記念病院,広島県,福山市,沖野上町3-6-28
脳神経センター大田記念病院,広島県,福山市,沖野上町三丁目6-28
興生総合病院,広島県,三原市,円一町2-5-1
興花会　堀病院,広島県,福山市,沖野上町3-4-13
草津眼科クリニック,広島県,広島市,草津東2丁目16-8
蒼生会　楠本病院,広島県,福山市,曙町3-19-18
藤井病院,徳島県,阿南市,見能林町築溜１−１
藤田眼科,徳島県,徳島市,佐古六番町6-27
街の診療所　ふじた医院,岡山県,倉敷市,福島674－1
西日本電信電話株式会社　高松診療所,香川県,高松市,観光町649-8
西本整形外科,愛媛県,東温市,田窪３０３−１
豊仁会　まな星クリニック,岡山県,岡山市,北区伊島町2丁目1-32
財団法人淳風会　倉敷第一病院,岡山県,倉敷市,老松町５－３－１０
財団法人淳風会　倉敷第一病院,香川県,倉敷市,老松町５－３－１０
輔仁会　太田川病院,広島県,広島市,戸坂千足1丁目21番25号
辰川会　山陽腎クリニック,広島県,福山市,野上町1-7-8
近森会　近森リハビリテーション病院,高知県,高知市,大川筋1 丁目1-16
近森会　近森病院,高知県,高知市,大川筋1 丁目1-16
近藤こどもクリニック,山口県,山口市,幸町3-49-2
道後温泉病院,愛媛県,松山市,道後姫塚乙21-21
金藤内科小児科医院,島根県,安来市,赤江町1447-5
鈴木眼科,山口県,宇部市,今村北4-26-8
長瀬内科医院,岡山県,岡山市,北区厚生町2-6-20
長門総合病院,山口県,長門市,東深川85
関門医療センター,山口県,下関市,長府外浦町1-1
阪大微生物病研究会,香川県,観音寺市,瀬戸町4-1-70
阪大微生物病研究会　観音寺研究所,香川県,観音寺市,瀬戸町4-1-70
防府整形・リウマチクリニック,山口県,防府市,新田1丁目7-1
防府整形・リウマチクリニック,山口県,防府市,新田１丁目７−１
防治会　いずみの病院,高知県,高知市,薊野北町2-10-53
防治会　梅ノ辻クリニック,高知県,高知市,梅ノ辻8-7
陶朋会　平成記念病院,島根県,雲南市,三刀屋町三刀屋1294番地1
陽光会　光中央病院,山口県,光市,島田2丁目22番16号
青山こどもクリニック,岡山県,岡山市,北区田中625-8
青木脳神経外科・形成外科,高知県,高知市,高須新町1-6-26
須崎会　高陵病院,高知県,須崎市,横町1-28
須藤会　土佐病院,高知県,高知市,新本町2丁目10番24号
飯南病院,島根県,飯石郡,頓原2060
香川井下病院,香川県,観音寺市,大野原町花稲818-1
香川労災病院,香川県,丸亀市,城東町3-3-1
香川大学医学部附属病院,香川県,木田郡,三木町大字池戸１７５０－１
香川大学医学部附属病院　周産期科女性診療,香川県,木田郡,三木町池戸1750-1
香川大学医学部附属病院　小児科,香川県,木田郡,三木町大字池戸1750-1
香川小児病院,香川県,善通寺市,寺町2603
香川県厚生農業協同組合連合会屋島総合病院,香川県,高松市,屋島西町1857-1
香川県済生会病院,香川県,高松市,多肥上町1331-1
香川県立中央病院,香川県,高松市,朝日町一丁目２番１号
香川県立白鳥病院,香川県,東かがわ市,松原963番地
高杉クリニック,広島県,広島市,3-1-206
高杉外科整形外科医院,広島県,広島市,猿猴橋町6-32
高松市民病院,香川県,高松市,脇町2丁目36 番1号
高松市立みんなの病院,香川県,高松市,仏生山町甲847-1
高松画像診断クリニック,香川県,高松市,朝日町2-483-322
高松神経内科クリニック,香川県,高松市,紺屋町4-10 鹿島紺屋町ビル1F
高松診療所,香川県,高松市,観光町649-8
高松赤十字病院,香川県,高松市,番町4-1-3
高梁整形外科医院,岡山県,高梁市,本町１１−１
高田会　高知記念病院,高知県,高知市,城見町4-13
高畠小児科・アレルギー科医院,香川県,高松市,木太町1813-1
高知医療センター,高知県,高知市,池2125-1
高知大学医学部　小児思春期医学講座,高知県,南国市,岡豊町小蓮185－1
高知大学医学部附属病院,高知県,南国市,岡豊町小蓮185－1
高知大学医学部附属病院老年病科,高知県,南国市,岡豊町小蓮185－1
高知病院,高知県,高知市,朝倉西町1-2-25
高知県立あき総合病院,高知県,安芸市,宝永町３−３３
高知県立幡多けんみん病院,高知県,宿毛市,山奈町芳奈3番地1
高知赤十字病院,高知県,高知市,新本町2-13-51
高知高須病院,高知県,高知市,大津乙2705-1
高見徳風会　希望ヶ丘ホスピタル,岡山県,津山市,田町115
高須眼科,岡山県,岡山市,北区駅元町1-4
鳥取医療センター,鳥取県,鳥取市,三津876
鳥取大学医学部,鳥取県,米子市,西町８６番地
鳥取大学医学部,鳥取県,米子市,西町36－1
鳥取大学医学部付属病院,鳥取県,米子市,西町36－1
鳥取大学医学部附属病院,鳥取県,米子市,西町36番地１
鳥取市立病院,鳥取県,鳥取市,的場１丁目１
鳥取市立病院,鳥取県,鳥取市,的場1-1
鳥取生協病院,鳥取県,鳥取市,末広温泉町458
鳥取県立中央病院,鳥取県,鳥取市,江津７３０
鳥取県立厚生病院,鳥取県,倉吉市,東昭和町150
鳥取赤十字病院,鳥取県,鳥取市,尚徳町117
鳴子会　菜の花診療所,高知県,高知市,追手筋1-9-22 高知メディカルプラザ2F
鳴門シーガル病院,徳島県,鳴門市,瀬戸町堂浦字阿波井57
鷹の子病院,愛媛県,松山市,鷹子町525-1
鼻岡けいこ皮フ科クリニック,広島県,広島市,三川町7-1
齊和會　廣島クリニック,広島県,広島市,東観音町20-16